name,lat,lng,rating,opening_hours,direccion,ciudad,rubro
"Centro Artístico y Espiritual ""Dharma""",-32.921481,-71.515192,0.0,,"C. 8 375, Concón",Concon,museo
Palmera Histórica de Concón,-32.921027,-71.50839,0.0,,"23577, Av. Borgoño 25350, Concón, Quintero",Concon,museo
Homenaje a los marinos y soldados caídos en la batalla de Concón,-32.933858,-71.443042,0.0,,"Ruta 60, Concón",Concon,museo
El Salmon Boutique del mar - Pescadería y Marisquería,-32.934052,-71.536362,4.8,{'open_now': False},"Avenida Concon Reñaca 122 Santa Maria 150 Concón, Valparaíso",Concon,pescados
Donde elmarko,-32.934725,-71.524879,4.7,{'open_now': False},"898, El Jardín Ote. 802, Concón",Concon,pescados
pescaderia El Pelao,-32.937128,-71.524417,4.7,{'open_now': False},"Los Diamantes 600, 698, Concón",Concon,pescados
Picá Los Canalla,-32.932029,-71.541725,4.6,{'open_now': False},San Pedro manzana E casa 10 higuerilla,Concon,pescados
El Salmon Restaurant,-32.930838,-71.539949,4.4,{'open_now': False},"A Morales 225a, Concón",Concon,pescados
Restaurant Punta Del Este,-32.923324,-71.524107,4.4,{'open_now': False},"Av. Borgoño 23120, Concón",Concon,pescados
Alto Mar by La Gatita,-32.930692,-71.539562,4.3,{'open_now': True},"198, A Morales 100, Concón",Concon,pescados
Pica De Juan Segura,-32.932048,-71.539637,4.3,{'open_now': True},"Illapel 160, Concón",Concon,pescados
Pescadería La Picá de Martín,-32.932965,-71.540982,4.2,{'open_now': True},"Las Pimpinelas 400-482, Concón",Concon,pescados
Restaurant Vista al Mar,-32.929846,-71.539824,4.2,{'open_now': False},"Av. Borgoño 21270, Concón, 2510070",Concon,pescados
Aquí Jaime,-32.929725,-71.539232,4.2,{'open_now': True},"Av. Borgoño 21303, Concón",Concon,pescados
La Picá de Martín,-32.932228,-71.541653,4.2,{'open_now': True},"Las Pimpinelas 1205, Concón",Concon,pescados
Donde Odette La Gatita,-32.932845,-71.540737,4.2,{'open_now': True},"Las Pimpinelas 1285, Concón",Concon,pescados
Restaurant La Perla del Pacífico,-32.920049,-71.509894,4.1,{'open_now': True},"Av. Borgoño 25190, Concón",Concon,pescados
Albatros Restaurante,-32.929444,-71.540278,3.9,{'open_now': True},"Av. Borgoño 21295, Concón",Concon,pescados
Restaurant Calipso,-32.930494,-71.538054,3.9,{'open_now': False},"Av. Borgoño 21455, Concón, 2510000",Concon,pescados
La Picá del Loro,-32.919813,-71.510503,3.7,{'open_now': False},"Av. Borgoño frente al 25.120, Concón",Concon,pescados
Restaurante Las Brisas Concon,-32.92026,-71.510883,3.3,{'open_now': True},"Av. Borgoño 25070, Concón",Concon,pescados
El Pez Gordo,-32.920327,-71.51116,3.3,{'open_now': True},"Av. Borgoño 25030, Concón",Concon,pescados
Donde Yayo,-32.920216,-71.510382,2.7,{'open_now': True},"Av. Borgoño 25140, Concón",Concon,pescados
Picá Los Canalla,-32.932029,-71.541725,4.6,{'open_now': False},San Pedro manzana E casa 10 higuerilla,Concon,restaurant
FARO de los Compadres,-32.931208,-71.538825,4.6,{'open_now': False},"El Prado 2585, Concón",Concon,restaurant
Empanadas Fritas Las Deliciosas,-32.92116,-71.508121,4.5,{'open_now': True},"Av. Borgoño 25370, Concón, 2510000",Concon,restaurant
El Club de Pedro y Fabiola,-32.932467,-71.5379,4.5,{'open_now': False},"Costanera 175, Concón",Concon,restaurant
